case_diary_number,case_recno,case_start,case_closed,case_title,document_date,document_description,document_category,inspection_result_wording,classification,asset_type,asset_identifiers,asset_count,property_designation,address,district,later_approved_in_case,source_case_url
2025-20404,1311249,2025-12-23,2026-06-01,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-12-30,"Intyg återkommande besiktning, ej godkänt, L3088150, L3088168",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3088150 L3088168,2,Förgyllda Bägaren 3,"Selmedalsvägen 62, Selmedalsvägen 64",Hägersten,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311249?dataSource=Active
2025-20405,1311250,2025-12-23,2026-06-01,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-12-30,"Intyg återkommande besiktning, ej godkänt, L3088176",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3088176,1,Förgyllda Bägaren 4,Selmedalsvägen 56,Hägersten,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311250?dataSource=Active
2025-20439,1311284,2025-12-23,2026-06-11,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-12-30,"Intyg återkommande besiktning, ej godkänt, 23276",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,23276,1,Arbetaren 12,Sankt Eriksgatan 37A,Kungsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311284?dataSource=Active
2026-00175,1311477,2026-01-08,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-08,"Intyg återkommande besiktning, ej godkänt, D1701586",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1701586,1,Sjötullsbesökaren 6,Båtängsvägen 5,Hägersten,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311477?dataSource=Active
2026-00192,1311494,2026-01-08,2026-08-21,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-08,"Intyg återkommande besiktning, ej godkänt, D1698033",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1698033,1,Herbariet 4,Herbariegränd 3,Liljeholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311494?dataSource=Active
2026-00194,1311496,2026-01-08,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-08,"Intyg återkommande besiktning, ej godkänt, D1708898",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1708898,1,Bältarsvennen 9,Johannisdalsgatan 26,Mälarhöjden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311496?dataSource=Active
2026-00221,1311523,2026-01-09,2026-03-25,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-09,"Intyg återkommande besiktning, ej godkänt, 3 st, D1383040, L2984507, L2984525",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1383040 L2984507 L2984525,3,Riset 10,"Barnängsgatan 58, Gaveliusgatan 11",Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311523?dataSource=Active
2026-00315,1311617,2026-01-12,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-12,"Intyg återkommande besiktning, ej godkänt, D1308031",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1308031,1,Vallgossen 14,Sankt Göransgatan 95,Kungsholmen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311617?dataSource=Active
2026-00315,1311617,2026-01-12,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-12,"Intyg återkommande besiktning, ej godkänt, L2845630",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2845630,1,Vallgossen 14,Sankt Göransgatan 95,Kungsholmen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311617?dataSource=Active
2026-00192,1311494,2026-01-08,2026-08-21,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, D1698033",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1698033,1,Herbariet 4,Herbariegränd 3,Liljeholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311494?dataSource=Active
2026-00340,1311642,2026-01-12,2026-09-01,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L1336080",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1336080,1,Nederland 18,Götgatan 42,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311642?dataSource=Active
2026-00342,1311644,2026-01-12,2026-09-01,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L1237890",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1237890,1,Nederland 19,Götgatan 44,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311644?dataSource=Active
2026-00345,1311647,2026-01-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L2634640",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2634640,1,Barnhusväderkvarnen 36,Drottninggatan 87,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311647?dataSource=Active
2026-00346,1311648,2026-01-12,2026-08-18,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L3129053",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3129053,1,Skulptören 1,Bildhuggarvägen 8,Johanneshov,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311648?dataSource=Active
2026-00350,1311652,2026-01-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L3495579",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3495579,1,Ladugårdsgärdet 1:4,"Information saknas för ""Adress""",Ladugårdsgärdet,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311652?dataSource=Active
2026-00351,1311653,2026-01-12,2026-08-18,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L3597069, L3597077",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3597069 L3597077,2,Kompaniet 6,Skarpögatan 6,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311653?dataSource=Active
2026-00355,1311657,2026-01-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L3737764",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3737764,1,Trädgårdsmästaren 10,Sveavägen 118,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311657?dataSource=Active
2026-00360,1311662,2026-01-12,2026-08-19,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S512046",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S512046,1,Luma 1,Lumaparksvägen 11,Södra Hammarbyhamnen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311662?dataSource=Active
2026-00362,1311664,2026-01-12,2026-08-19,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S929385",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S929385,1,Majblomstret 3,Responsgatan 36,Västberga,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311664?dataSource=Active
2026-00363,1311665,2026-01-12,2026-05-21,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S948852",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S948852,1,Brunnsmästaren 2,Dalagatan 11,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311665?dataSource=Active
2026-00365,1311667,2026-01-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S970963",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S970963,1,Skoblocket 1,Toffelbacken 4G,Solberga,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311667?dataSource=Active
2026-00369,1311671,2026-01-12,2026-08-19,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S1000787",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S1000787,1,Fatbursholmen 24,Åsögatan 97,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311671?dataSource=Active
2026-00371,1311673,2026-01-12,,Anmaning att låta åtgärda jalusi samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S1002955, S1002956",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,UNKNOWN,S1002955 S1002956,2,Hässelby Villastad 14:34,Sandviksvägen 159,Hässelby Villastad,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311673?dataSource=Active
2026-00372,1311674,2026-01-12,,Anmaning att låta åtgärda jalusi samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, S1002958",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,UNKNOWN,S1002958,1,Ålborg 1,Köpenhamnsgatan 15,Kista,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311674?dataSource=Active
2026-00421,1311723,2026-01-13,2026-08-20,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L2842795",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2842795,1,Kopparn 9,Bondegatan 74B,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311723?dataSource=Active
2026-00429,1311731,2026-01-13,2026-08-25,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, 30491",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,30491,1,Lövsångaren 3,Odengatan 21,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311731?dataSource=Active
2026-00430,1311732,2026-01-13,2026-08-27,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, 31172",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,31172,1,Tallen 10,Engelbrektsgatan 12,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311732?dataSource=Active
2026-00431,1311733,2026-01-13,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, 46360",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,46360,1,Renen 16,Grev Turegatan 69,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311733?dataSource=Active
2026-00432,1311734,2026-01-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, 51746",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,51746,1,Rotundan 5,Cardellgatan 4,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311734?dataSource=Active
2026-00433,1311735,2026-01-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L2875581, L7891643, L7891750",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2875581 L7891643 L7891750,3,Idun 26,"Cervins Väg 17B, Cervins Väg 19C, Cervins Väg 21",Bromsten,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311735?dataSource=Active
2026-00434,1311736,2026-01-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-13,"Intyg återkommande besiktning, ej godkänt, L7894720",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894720,1,Idun 26,Duvbovägen 96A,Bromsten,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311736?dataSource=Active
2026-00504,1311806,2026-01-14,2026-08-25,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-14,"Intyg återkommande besiktning, ej godkänt, D1484837",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1484837,1,Sälgen 2,Rådmansgatan 24,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311806?dataSource=Active
2026-00521,1311823,2026-01-14,2026-08-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-14,"Intyg återkommande besiktning, ej godkänt, D1747789",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1747789,1,Vasastaden 1:16,Solnavägen 1E,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311823?dataSource=Active
2026-00546,1311848,2026-01-15,2026-08-27,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-15,"Intyg återkommande besiktning, ej godkänt, 30874",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,30874,1,Nebulosan 17,Odengatan 91A,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311848?dataSource=Active
2026-00547,1311849,2026-01-15,2026-04-15,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-15,"Intyg återkommande besiktning, ej godkänt, 27493",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,27493,1,Skeppsholmen 1:1,Exercisplan 4,Skeppsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311849?dataSource=Active
2026-00547,1311849,2026-01-15,2026-04-15,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-15,"Intyg återkommande besiktning, ej godkänt, 27492",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,27492,1,Skeppsholmen 1:1,Exercisplan 4,Skeppsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311849?dataSource=Active
2026-00551,1311853,2026-01-15,2026-08-14,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-15,"Intyg återkommande besiktning, ej godkänt, 33548",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,33548,1,Blåklinten 13,Västmannagatan 70,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311853?dataSource=Active
2026-00595,1311897,2026-01-16,2026-09-02,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 49801",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,49801,1,Blosset 1,Västmannagatan 17A,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311897?dataSource=Active
2026-00607,1311909,2026-01-16,2026-08-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 44336",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,44336,1,Facklan 11,Västmannagatan 22,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311909?dataSource=Active
2026-00608,1311910,2026-01-16,2026-08-25,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 2st, 45660, 45661",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,45660 45661,2,Hinden 18,"Grev Turegatan 53, Karlavägen 55",Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311910?dataSource=Active
2026-00610,1311912,2026-01-16,2026-08-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 41063",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,41063,1,Nebulosan 15,Odengatan 87,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311912?dataSource=Active
2026-00611,1311913,2026-01-16,2026-09-03,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 44819",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,44819,1,Primusköket 5,Essinge Brogata 10,Lilla Essingen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311913?dataSource=Active
2026-00620,1311922,2026-01-16,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 21104",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,21104,1,Skvalberget 18,Grev Turegatan 25,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311922?dataSource=Active
2026-00622,1311924,2026-01-16,2026-09-10,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 2 st, 20240, 30822",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,20240 30822,2,Rådjuret 7,"Karlavägen 59A, Karlavägen 59C",Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311924?dataSource=Active
2026-00624,1311926,2026-01-16,2026-08-12,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, 3 st, 44623, 44624, 44625",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,44623 44624 44625,3,Vårdtornet 9,"Fleminggatan 65, Inedalsgatan 4A, Inedalsgatan 4B",Kungsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311926?dataSource=Active
2026-00661,1311963,2026-01-16,2026-09-17,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, L4049128",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4049128,1,Akterspegeln 18,Gröndalsvägen 38,Gröndal,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311963?dataSource=Active
2026-00662,1311964,2026-01-16,2026-08-24,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, S392109",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S392109,1,Brevlådan 1,Frimärksvägen 13,Svedmyra,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311964?dataSource=Active
2026-00664,1311966,2026-01-16,2026-08-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, S522916",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S522916,1,Vantet 14,Gröndalsvägen 61,Gröndal,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311966?dataSource=Active
2026-00665,1311967,2026-01-16,2026-08-25,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, L1683879",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1683879,1,Bodbetjänten 1,Kryddgränd 6,Gubbängen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311967?dataSource=Active
2026-00666,1311968,2026-01-16,2026-08-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, L2558450",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2558450,1,Konsumenten 3,Varuvägen 7,Älvsjö,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311968?dataSource=Active
2026-00667,1311969,2026-01-16,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, S966960",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S966960,1,Persikan 6,Tegelviksgatan 12B,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311969?dataSource=Active
2026-00668,1311970,2026-01-16,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, S906319",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,S906319,1,Vagnhallen 19,Jämtlandsgatan 131,Råcksta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311970?dataSource=Active
2026-00669,1311971,2026-01-16,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-16,"Intyg återkommande besiktning, ej godkänt, L3727666",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3727666,1,Verdandi 9,Torsgatan 62,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311971?dataSource=Active
2026-00688,1311990,2026-01-19,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, S392126",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S392126,1,Prästgårdshagen 2,Spikskogatan 1,Solberga,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311990?dataSource=Active
2026-00689,1311991,2026-01-19,2026-09-01,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, S272373",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S272373,1,Armborstet 1,Götalandsvägen 237,Solberga,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311991?dataSource=Active
2026-00690,1311992,2026-01-19,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L3678158",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3678158,1,Harven 35,Södermannagatan 58,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311992?dataSource=Active
2026-00691,1311993,2026-01-19,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L1641380",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1641380,1,Ugglan Mindre 3,Brännkyrkagatan 28,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311993?dataSource=Active
2026-00692,1311994,2026-01-19,2026-08-24,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, S717385",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S717385,1,Monumentet 33,Götgatan 87,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311994?dataSource=Active
2026-00693,1311995,2026-01-19,2026-08-20,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L4073698",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4073698,1,Skidspåret 3,Snöflingebacken 9,Västertorp,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311995?dataSource=Active
2026-00694,1311996,2026-01-19,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L3129855",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3129855,1,Dragningslistan 5,Sparbanksvägen 4,Hägerstensåsen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311996?dataSource=Active
2026-00695,1311997,2026-01-19,2026-09-04,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L4072682",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4072682,1,Ulla Winblad 8,Klubbacken 25,Hägersten,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311997?dataSource=Active
2026-00696,1311998,2026-01-19,2026-08-27,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, L4042412",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4042412,1,Mullvadsberget 23,Brännkyrkagatan 117,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311998?dataSource=Active
2026-00697,1311999,2026-01-19,2026-08-12,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, 2 st, L0777540, L0777557",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L0777540 L0777557,2,Hantverkaren 24,Sankt Göransgatan 57,Kungsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1311999?dataSource=Active
2026-00698,1312000,2026-01-19,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-19,"Intyg återkommande besiktning, ej godkänt, 3 st, L6656490, L6656508, L6656524",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L6656490 L6656508 L6656524,3,Dalen 8,"Täppgränd 103, Täppgränd 105, Täppgränd 113",Gamla Enskede,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1312000?dataSource=Active
2026-00795,1312097,2026-01-19,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-20,"Intyg återkommande besiktning, ej godkänt, L2971146",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2971146,1,Hägern Större 14,Klarabergsgatan 23,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1312097?dataSource=Active
2026-00805,1312107,2026-01-19,2026-08-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-01-20,"Intyg återkommande besiktning, ej godkänt, 21928",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,21928,1,Falkonetten 2,Smedsbacksgatan 5,Ladugårdsgärdet,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1312107?dataSource=Active
2026-00808,1312110,2026-01-19,2026-08-24,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-20,"Intyg återkommande besiktning, ej godkänt, 27390",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,27390,1,Räven 2,Nybrogatan 76,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1312110?dataSource=Active
2026-00810,1312112,2026-01-19,2026-08-24,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-01-20,"Intyg återkommande besiktning, ej godkänt, 42249",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,42249,1,Järnlodet 24,Sibyllegatan 9,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1312112?dataSource=Active
